% Model,cpw_vacuum_calcs.mph
% Version,COMSOL 5.4.0.225
% Date,"Nov 12 2018, 15:57"
% Dimension,2
% Nodes,40401
% Expressions,1
% Description,Magnetic flux density norm
% Length unit,µm
% x,y,mf.normB (T)
-10,-10,2.7333210388214E-9
-10,-9.9,2.754228352627709E-9
-10,-9.8,2.7751050309898597E-9
-10,-9.7,2.79576799519456E-9
-10,-9.6,2.816483500810009E-9
-10,-9.499999999999998,2.8379768287061033E-9
-10,-9.4,2.859478680171195E-9
-10,-9.3,2.880846548526391E-9
-10,-9.199999999999998,2.9022707313424594E-9
-10,-9.1,2.9237499906634883E-9
-10,-9,2.945883698451184E-9
-10,-8.9,2.9681131104205763E-9
-10,-8.8,2.9904053969624183E-9
-10,-8.7,3.0127591623950173E-9
-10,-8.6,3.0349268888768533E-9
-10,-8.5,3.0577197272907365E-9
-10,-8.399999999999999,3.080509006963885E-9
-10,-8.3,3.1033638868557828E-9
-10,-8.2,3.126282928243624E-9
-10,-8.099999999999998,3.148723264558482E-9
-10,-8,3.1718098230886693E-9
-10,-7.9,3.1956647526519183E-9
-10,-7.8,3.2195911659389573E-9
-10,-7.699999999999999,3.2430242401595157E-9
-10,-7.6,3.2663527807927897E-9
-10,-7.499999999999999,3.2897002562762403E-9
-10,-7.4,3.314443639035694E-9
-10,-7.3,3.3390381005945695E-9
-10,-7.199999999999998,3.36310438255866E-9
-10,-7.099999999999999,3.387267112716649E-9
-10,-7,3.411524241734379E-9
-10,-6.9,3.4363553129537787E-9
-10,-6.799999999999999,3.4612678483407E-9
-10,-6.699999999999999,3.486110329025053E-9
-10,-6.6,3.5110620009006767E-9
-10,-6.5,3.5361205525346735E-9
-10,-6.3999999999999995,3.5606737066314766E-9
-10,-6.3,3.5861513627688704E-9
-10,-6.199999999999999,3.611346537215079E-9
-10,-6.099999999999999,3.636272126523432E-9
-10,-6,3.660869494309497E-9
-10,-5.8999999999999995,3.6871403277574147E-9
-10,-5.8,3.712502094410399E-9
-10,-5.699999999999999,3.737998532618904E-9
-10,-5.6,3.763424551619921E-9
-10,-5.5,3.788103462835795E-9
-10,-5.3999999999999995,3.813686412279375E-9
-10,-5.299999999999999,3.8397538160682515E-9
-10,-5.199999999999999,3.8658945672444625E-9
-10,-5.1,3.891004283991097E-9
-10,-5,3.9162945699257856E-9
-10,-4.899999999999999,3.9411518409453336E-9
-10,-4.8,3.967745269368516E-9
-10,-4.699999999999999,3.993185278591331E-9
-10,-4.599999999999999,4.018716555683518E-9
-10,-4.5,4.044454838799006E-9
-10,-4.3999999999999995,4.068434649639356E-9
-10,-4.3,4.095298545408497E-9
-10,-4.199999999999998,4.119476957910169E-9
-10,-4.1,4.143878279809262E-9
-10,-4,4.16849859654421E-9
-10,-3.899999999999999,4.1917057811777766E-9
-10,-3.8,4.217345755759101E-9
-10,-3.6999999999999993,4.241277236485364E-9
-10,-3.599999999999999,4.265469576132482E-9
-10,-3.5,4.288782008335382E-9
-10,-3.399999999999999,4.3115202901652015E-9
-10,-3.3,4.334620220046858E-9
-10,-3.199999999999999,4.358069917206093E-9
-10,-3.0999999999999996,4.380974307772442E-9
-10,-3,4.402904009114218E-9
-10,-2.8999999999999995,4.425175270882117E-9
-10,-2.8,4.4477829622207406E-9
-10,-2.6999999999999993,4.466217545122995E-9
-10,-2.5999999999999996,4.488493594860009E-9
-10,-2.5,4.507522325846645E-9
-10,-2.3999999999999995,4.52690937475151E-9
-10,-2.2999999999999994,4.545252839055532E-9
-10,-2.1999999999999993,4.564175723522879E-9
-10,-2.099999999999999,4.582005880745954E-9
-10,-2,4.6005377379134685E-9
-10,-1.9000000000000001,4.616245748886391E-9
-10,-1.799999999999999,4.632426100507083E-9
-10,-1.6999999999999993,4.645689437761669E-9
-10,-1.5999999999999994,4.6601395329916966E-9
-10,-1.5,4.6783183972864335E-9
-10,-1.4000000000000004,4.689397153889342E-9
-10,-1.2999999999999987,4.700967427817897E-9
-10,-1.1999999999999993,4.713025599112379E-9
-10,-1.0999999999999996,4.72387769594538E-9
-10,-1,4.733067447487716E-9
-10,-0.9000000000000002,4.742756778273616E-9
-10,-0.7999999999999989,4.7484072533516594E-9
-10,-0.6999999999999992,4.7553958010098335E-9
-10,-0.5999999999999996,4.763865708673151E-9
-10,-0.5,4.768494879565689E-9
-10,-0.3999999999999986,4.77363340687287E-9
-10,-0.29999999999999893,4.776258632878362E-9
-10,-0.1999999999999993,4.778826430576521E-9
-10,-0.09999999999999964,4.781922670827433E-9
-10,0,4.778949019291569E-9
-10,0.10000000000000141,4.780962980638913E-9
-10,0.20000000000000104,4.778710998322461E-9
-10,0.30000000000000066,4.776987620381362E-9
-10,0.40000000000000036,4.773083993455972E-9
-10,0.5,4.768808049836818E-9
-10,0.6000000000000013,4.765053614721357E-9
-10,0.7000000000000011,4.755441877403191E-9
-10,0.8000000000000007,4.751265703224262E-9
-10,0.9000000000000002,4.7421305926383314E-9
-10,1,4.733504052731264E-9
-10,1.1000000000000014,4.7240107551538505E-9
-10,1.200000000000001,4.7128191908089845E-9
-10,1.3000000000000007,4.701458370968124E-9
-10,1.4000000000000004,4.689489061905729E-9
-10,1.5,4.676346417959246E-9
-10,1.6000000000000014,4.661934653184803E-9
-10,1.700000000000001,4.648011834878659E-9
-10,1.8000000000000005,4.633115556924384E-9
-10,1.9000000000000001,4.617396443178545E-9
-10,2,4.6003932825269414E-9
-10,2.1000000000000014,4.583054654833817E-9
-10,2.200000000000001,4.564650656288812E-9
-10,2.3000000000000003,4.5458250807170736E-9
