% Model:              rectangular_wire_2.mph
% Version:            COMSOL 5.3.1.229
% Date:               Oct 22 2018, 12:46
% Dimension:          1
% Nodes:              667
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         -2.226503291112439E-27
0.04790155089321679       1.2743148205123816E-13
0.06910069650607298       2.1001071393357452E-13
0.14857858587218864       5.18090125517922E-13
0.1493997910905449        4.805957320898379E-13
0.16606058079955766       5.071273946162653E-13
0.24560280394875456       7.507030746254134E-13
0.24915507020082295       8.37209677564531E-13
0.34310601894113013       1.1074382173215346E-12
0.34927386149237805       1.1569530867227701E-12
0.44209993007294024       1.3895575362084623E-12
0.44838437007884835       1.4388940172115008E-12
0.5411087246138955        1.7119240723365687E-12
0.5476109498083197        1.8010301584972885E-12
0.6401078323571117        2.0753672288542782E-12
0.6467242187761801        2.1261883257927033E-12
0.7392097212416218        2.3635982979053767E-12
0.7458971338613445        2.414688826345483E-12
0.8382669431829122        2.6936750549781986E-12
0.8449788354611503        2.7851581256270287E-12
0.9372859482009552        3.0270391221609714E-12
0.9440007118986955        3.119517759296572E-12
1.0362932655666928        3.3642316835060043E-12
1.0430155302150865        3.4578477711862864E-12
1.1352854011755902        3.746928751989065E-12
1.1420524292561574        3.800666309293209E-12
1.23429201625237          4.052081949115417E-12
1.2410775120763198        4.106485692667661E-12
1.3333070234522388        4.403712521940397E-12
1.34009588095579          4.501589617601832E-12
1.4323235892662112        4.8042863269637436E-12
1.4391117152930022        4.860696597229738E-12
1.5313388625170923        5.124870023743041E-12
1.5381254574139689        5.182112667337219E-12
1.6303524459466843        5.495464859329245E-12
1.637138507988423         5.5988472752096836E-12
1.7293653517007836        5.919208887487481E-12
1.7361527596312936        5.979026003709758E-12
1.8283789791470788        6.259551881150366E-12
1.835168819631189         6.32042193813654E-12
1.9273938454653816        6.654267025398101E-12
1.9341858000985859        6.764618511033941E-12
2.026409214187453         7.05828921584292E-12
2.03320225355829          7.171322558159622E-12
2.125424333777996         7.472304180264433E-12
2.132217649787905         7.5882146806363E-12
2.22443927006565          7.948542343700738E-12
2.2312325818802794        8.01603236749228E-12
2.323454212158083         8.33325735896963E-12
2.330247514479592         8.402247640522709E-12
2.4224691596761803        8.781773114803884E-12
2.42926244389386          8.907604303417666E-12
2.521484105523662         9.299518348637605E-12
2.5282773629487805        9.373054216104096E-12
2.6204990369495302        9.7191802339514E-12
2.627292267663245         9.794551381568254E-12
2.7195139472386094        1.0209951788858821E-11
2.7263071674908526        1.0347920095547125E-11
2.8185288480893487        1.0778449678543304E-11
2.825322083916313         1.0859372110259739E-11
2.9175437602168026        1.1240796595721543E-11
2.9243370286474617        1.1323958337701748E-11
3.016558692323753         1.184919635361443E-11
3.023351988898246         1.1935925420542145E-11
3.1155736376151584        1.234509970684342E-11
3.122366944214903         1.2434386052814928E-11
3.2145885941344616        1.2928004179225881E-11
3.2213818899653797        1.3092429368033053E-11
3.3136035788601053        1.3607142431891971E-11
3.3203968375766566        1.3704168564427871E-11
3.4126186145306763        1.4162570542455485E-11
3.4194117900948005        1.426272406402606E-11
3.5116337058246145        1.4817466918536176E-11
3.518426724728151         1.500257832645973E-11
3.6106488187708337        1.5583171909347837E-11
3.6174415994379006        1.5692808328954005E-11
3.7096639104632843        1.6211543933009435E-11
3.7164564051407893        1.6325022009707086E-11
3.8086790421784933        1.695479418933238E-11
3.8154712423855983        1.7165319391040067E-11
3.9076944662638153        1.782694753930724E-11
3.9144862768574624        1.7952109250010244E-11
4.006710447190696         1.8545205911531264E-11
4.013501467145931         1.8675118286596646E-11
4.105726875989244         1.9502000320379874E-11
4.112516357936217         1.963951516284142E-11
4.204743097752267         2.0291870613272115E-11
4.211530366794313         2.0434881760274594E-11
4.303758315436898         2.1231340240708846E-11
4.31054341018428          2.149841519800517E-11
4.40277232752612          2.234078901866906E-11
4.409556280353833         2.25006249179847E-11
4.501785738953249         2.3260191253947905E-11
4.508570109359648         2.3426922584298888E-11
4.600799535142847         2.435767660908321E-11
4.607585432592539         2.4670418819327773E-11
4.699814170921193         2.565912493583459E-11
4.706601696763209         2.5847136197726948E-11
4.798829301483682         2.6742113294860085E-11
4.80561778101584          2.6938886806402614E-11
4.897844501242475         2.8039856522278383E-11
4.9046332366941785        2.8410616811467078E-11
4.9968598181395185        2.941611506836053E-11
5.003648352217243         2.9809663747593525E-11
5.095875380554615         3.0877856234927156E-11
5.10266327274923          3.1296239035130094E-11
5.194890532186195         3.262471733189768E-11
5.201677622896803         3.287831747818435E-11
5.29390451227348          3.4089648383647854E-11
5.300691485290035         3.435672614356444E-11
5.392917832866054         3.585800581191212E-11
5.3997059789675115        3.6365682787926784E-11
5.491931744465553         3.7982626097668586E-11
5.498721843766534         3.829215912092661E-11
5.590946707203052         3.9774077204134633E-11
5.597738444779705         4.01014937853093E-11
5.689962060059195         4.1947730230148804E-11
5.696754562439969         4.257390294883001E-11
5.78897711993154          4.457519358267489E-11
5.795769743483606         4.4959487722929166E-11
5.887991912693209         4.680437329335975E-11
5.894784525902816         4.7212913689200947E-11
5.9870066563083535        4.986337852630188E-11
5.993799406042691         5.031210896120394E-11
6.086021467946672         5.2470893867473814E-11
6.092814448627736         5.2949757560123326E-11
6.185036402076765         5.566791732204445E-11
6.191829580300292         5.659527755093705E-11
6.2840514024120715        5.95808040794039E-11
6.290844667967905         6.015770044757173E-11
6.383066419733792         6.294338911674212E-11
6.3898596667901195        6.356311982506203E-11
6.482081501612649         6.709875399854881E-11
6.488874639720735         6.831036039527125E-11
6.581096726557001         7.223297611899172E-11
