% Model:              rectangular_wire_2.mph
% Version:            COMSOL 5.3.1.229
% Date:               Oct 22 2018, 12:46
% Dimension:          1
% Nodes:              667
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         1.274145177774823E-9
0.04790155089321679       1.2742217371515391E-9
0.06910069650607298       1.2742219793300647E-9
0.14857858587218864       1.2745141368407903E-9
0.1493997910905449        1.274569572006863E-9
0.16606058079955766       1.2746076279604702E-9
0.24560280394875456       1.275111869606069E-9
0.24915507020082295       1.275142029327034E-9
0.34310601894113013       1.2760971319217176E-9
0.34927386149237805       1.2761033113432013E-9
0.44209993007294024       1.277284659150785E-9
0.44838437007884835       1.277437719883891E-9
0.5411087246138955        1.2788530763452117E-9
0.5476109498083197        1.2789674905913059E-9
0.6401078323571117        1.2808051324695083E-9
0.6467242187761801        1.280879330627179E-9
0.7392097212416218        1.2829549594576758E-9
0.7458971338613445        1.283180222876134E-9
0.8382669431829122        1.285493119891637E-9
0.8449788354611503        1.2856769682743466E-9
0.9372859482009552        1.2883589752537223E-9
0.9440007118986955        1.2885652686631306E-9
1.0362932655666928        1.2915566727985595E-9
1.0430155302150865        1.2917859047864894E-9
1.1352854011755902        1.2951570591552919E-9
1.1420524292561574        1.2953439958028093E-9
1.23429201625237          1.2989648763777013E-9
1.2410775120763198        1.299311189041601E-9
1.3333070234522388        1.30318592640875E-9
1.34009588095579          1.3034880882455454E-9
1.4323235892662112        1.3078287090044673E-9
1.4391117152930022        1.3080849617605833E-9
1.5313388625170923        1.3126885940580605E-9
1.5381254574139689        1.3131114972603124E-9
1.6303524459466843        1.317982659343082E-9
1.637138507988423         1.318358927597997E-9
1.7293653517007836        1.323722245561472E-9
1.7361527596312936        1.3240499476645624E-9
1.8283789791470788        1.3296920632658243E-9
1.835168819631189         1.3301969560854438E-9
1.9273938454653816        1.33612353434093E-9
1.9341858000985859        1.3365790218900863E-9
2.026409214187453         1.342951204694586E-9
2.03320225355829          1.3434342811316383E-9
2.125424333777996         1.3501846307625837E-9
2.132217649787905         1.35069592784336E-9
2.22443927006565          1.357917896415651E-9
2.2312325818802794        1.3583743552116025E-9
2.323454212158083         1.3659107469131184E-9
2.330247514479592         1.366567403577443E-9
2.4224691596761803        1.3744263345180962E-9
2.42926244389386          1.3750268473414649E-9
2.521484105523662         1.3834847542295975E-9
2.5282773629487805        1.384025520331035E-9
2.6204990369495302        1.3928259272111257E-9
2.627292267663245         1.3935851136174485E-9
2.7195139472386094        1.402737947100422E-9
2.7263071674908526        1.4034357919902639E-9
2.8185288480893487        1.4132453682750523E-9
2.825322083916313         1.4138774756182568E-9
2.9175437602168026        1.424063852428114E-9
2.9243370286474617        1.4249366436914459E-9
3.016558692323753         1.435619362472617E-9
3.023351988898246         1.436317040212716E-9
3.1155736376151584        1.4475081871614285E-9
3.122366944214903         1.4484640434485979E-9
3.2145885941344616        1.4600727854601149E-9
3.2213818899653797        1.4609559653591995E-9
3.3136035788601053        1.473347378484249E-9
3.3203968375766566        1.4741517451687872E-9
3.4126186145306763        1.4869947467373676E-9
3.4194117900948005        1.488088316076533E-9
3.5116337058246145        1.5013998261565757E-9
3.518426724728151         1.5024118433496422E-9
3.6106488187708337        1.5166045067668876E-9
3.6174415994379006        1.5175274414678337E-9
3.7096639104632843        1.532230265054414E-9
3.7164564051407893        1.5334804016506477E-9
3.8086790421784933        1.5487141775355756E-9
3.8154712423855983        1.5498718725855151E-9
3.9076944662638153        1.5661078450744945E-9
3.9144862768574624        1.5671638157723616E-9
4.006710447190696         1.583982166737235E-9
4.013501467145931         1.5854121074997402E-9
4.105726875989244         1.6030084401350686E-9
4.112516357936217         1.6041624269827949E-9
4.204743097752267         1.6225625660109206E-9
4.211530366794313         1.6241275558867062E-9
4.303758315436898         1.6431972458375852E-9
4.31054341018428          1.6446452485507757E-9
4.40277232752612          1.6649864908984318E-9
4.409556280353833         1.6663043464245119E-9
4.501785738953249         1.6873889294116908E-9
4.508570109359648         1.6891858560701193E-9
4.600799535142847         1.7110509511066586E-9
4.607585432592539         1.7127123416759097E-9
4.699814170921193         1.7360659897609443E-9
4.706601696763209         1.737575050009016E-9
4.798829301483682         1.761802233223649E-9
4.80561778101584          1.7638758690235223E-9
4.897844501242475         1.7890239851468915E-9
4.9046332366941785        1.7909373469346655E-9
4.9968598181395185        1.8175744154934305E-9
5.003648352217243         1.8195816469616355E-9
5.095875380554615         1.8475351040642032E-9
5.10266327274923          1.8496419056039535E-9
5.194890532186195         1.879306795174187E-9
5.201677622896803         1.881207370018083E-9
5.29390451227348          1.9120499101181777E-9
5.300691485290035         1.914714035457589E-9
5.392917832866054         1.946806951812546E-9
5.3997059789675115        1.94925378470075E-9
5.491931744465553         1.9837629412783957E-9
5.498721843766534         1.9859591923977492E-9
5.590946707203052         2.0219046014462385E-9
5.597738444779705         2.0250355202669206E-9
5.689962060059195         2.0625135436808725E-9
5.696754562439969         2.0653779797360937E-9
5.78897711993154          2.1058358247558644E-9
5.795769743483606         2.108388453842198E-9
5.887991912693209         2.150628419308061E-9
5.894784525902816         2.1543435920999397E-9
5.9870066563083535        2.1990466139701776E-9
5.993799406042691         2.2018789002621814E-9
6.086021467946672         2.249180791582227E-9
6.092814448627736         2.253373277328715E-9
6.185036402076765         2.3029175982974946E-9
6.191829580300292         2.3067199084326535E-9
6.2840514024120715        2.360677632908203E-9
6.290844667967905         2.364012021895879E-9
6.383066419733792         2.4206413657932433E-9
6.3898596667901195        2.4257301300813094E-9
6.482081501612649         2.4852618490505194E-9
